charity_name,city,state,zip
JERICHO CIRCLE PROJECT INC,CAMBRIDGE,MA,02138-1102
RESOURCES OUTREACH CENTER,NEW HAVEN,CT,06511-4516
WASHINGTON COUNTY DIVERSION PROGRAM INC,BARRE,VT,05641-4110
BENNINGTON COUNTY COURT DIVERSION PROGRAM INC,BENNINGTON,VT,05201-2158
COVERED BRIDGE THERAPEUTIC COMMUNITIES INC,ST JOHNSBURY,VT,05819-2663
JUSTICE RESOURCE INSTITUTE INC,NEEDHAM,MA,02494-2300
PARTAKERS INC,AUBURNDALE,MA,02466-2333
CONCORD PRISON OUTREACH INC,CONCORD,MA,01742-2528
COMMUNITY RESOURCES FOR JUSTICE INC,BOSTON,MA,02116-3332
PROJECT MODEL OFFENDER REINTEGRATION EXPERIENCE INC,NEW HAVEN,CT,06511-4991
GETTING OUT AND STAYING OUT INC,NEW YORK,NY,10035-2039
PRISON TO PRAISE INTERNATIONAL,BUFFALO,NY,14231-1032
GREENHOPE SERVICES FOR WOMEN INC,BRONX,NY,10457-5859
SOCIAL AGENDA INC,KINGSTON,NY,12401-6128
AVENUES FOR JUSTICE INC,NEW YORK,NY,10013-4308
FAMILY JUSTICE INC,NEW YORK,NY,10013-2473
FRIENDS OF SAN PATRIGNANO INC,NEW YORK,NY,10021-5034
TREATMENT ACCOUNTABILITY FOR SAFER COMMUNITIES TASC OF THE CAPITAL DI,TROY,NY,12180-3400
BREATHING SPACE INC,ROCHESTER,NY,14609-2204
OPPORTUNITIES ALTERNATIVES AND RESOURCES OF TOMPKINS COUNTY,ITHACA,NY,14850-3306
INTERFAITH HOSPITALITY CENTER,PINE CITY,NY,14871-0364
REDEEM-HER,NEPTUNE,NJ,07753-5619
JUSTICE LIFELINE INC,BUFFALO,NY,14214-2138
PRISON BOOK PROGRAM,QUINCY,MA,02169-5112
LATIN AMERICAN HEALTH ALLIANCE OFCENTRAL MASSACHUSETTS INC,WORCESTER,MA,01610-1919
TURNING AROUND MINISTRIES INC,NEWPORT,RI,02840-0000
ORTHODOX CHRISTIAN PRISON MINISTRY,NEW YORK,NY,10001-4527
YOUTH REPRESENT INC,NEW YORK,NY,10007-2816
SAVING GRACE MINISTRIES OF ROCHESTER INC,ROCHESTER,NY,14621-3868
TEAM RESURRECTION INC,NEWARK,NJ,07103-1933
WAYNE PRE-TRIAL SERVICES INC,NEWARK,NY,14513-1455
PARENTS SUPPORT GROUP-NEW JERSEY INC,LITTLE FALLS,NJ,07424-2456
CENTER FOR URBAN EDUCATION INC,IRVINGTON,NJ,07111-2313
BETHANY HOUSE MINISTRIES INC,MILLIS,MA,02054-1403
COALITION OF COMMUNITY CORRECTIONS PROVIDERS OF NEW JERSEY INC,TRENTON,NJ,08611-2008
HOPE PRISON MINISTRY INC,SCHENECTADY,NY,12302-4305
TEMPLE VISION CORPORATION,BRIDGETON,NJ,08302-0203
CARMEN MINISTRIES,HACKETTSTOWN,NJ,07840-0421
PRISON MOTHERS PRAYER MINISTRY,HILLSIDE,NJ,07205-1313
PENIKESE ISLAND SCHOOL INC,WOODS HOLE,MA,02543-0161
WESTERN NEW YORK PRISONER RE-ENTRY COALITION INC,BUFFALO,NY,14206-1540
PROVIDENCE BOOKS THROUGH BARS,PROVIDENCE,RI,02906-4125
GODS WOMAN MINISTRIES,CATSKILL,NY,12414-0729
NETWORK SUPPORT SERVICES INCORPORATED,BRONX,NY,10451-6009
MAINE PRISONER ADVOCACY COALITION,LISBON,ME,04250-0446
THE WOMANS OPPORTUNITY REHABILITATION CENTER INC,HEMPSTEAD,NY,11550-3951
L ASURIM OF USA,BROOKLYN,NY,11211-7721
ARTISTIC NOISE INC,NEW YORK,NY,10027-1920
THE PETEY GREENE PROGRAM INC,PRINCETON,NJ,08540-6813
INCARCERATED VETERANS OF AMERICA INC,RAHWAY,NJ,07065-5517
LIFE PROGRESSIVE SERVICES GROUP INC,MOUNT VERNON,NY,10550-3148
HUDSON VALLEY REENTRY NETWORK INC,POUGHKEEPSIE,NY,12601-2432
EXODUS TRANSITIONAL COMMUNITY INC,NEW YORK,NY,10035-2231
THE PHILIP J HANSBURY REHABILIATIVE JUSTICE FOR WOMEN,SALEM,MA,01970-3860
REACH OUT ADDICTION & RECOVERY HOUSE INC,NEWARK,NJ,07103-0200
FLAGG WORLD INC,STATEN ISLAND,NY,10304-4452
PIVOT FOUNDATION INC,WATERTOWN,MA,02472-1861
